"ID","post_title","coords"
42824,"Belgisch Stripcentrum","50.851055,4.359684"
42943,"Arentshuis","51.2056094,3.2253337"
43377,"Le Musée du Pays d’Ourthe-Amblève","50.4754006,5.5748644"
43381,"Le Centre d’Interprétation de la Chauve-souris","50.4754006,5.5748644"
43520,"Kazerne Dossin","51.0339438,4.4788425"
43584,"Le musée du château fort","50.394088,5.5494466"
43933,"BOZAR - Paleis voor Schone Kunsten","50.8442226,4.3595052"
43974,"Bibliotheek 't Vlaams Stripcentrum","51.1682669,4.3867053"
44035,"Boekhandel Beatrijs","50.8448774,3.6025436"
44128,"Koset","51.1654781,4.1372728"
44309,"STAM - Stadsmuseum Gent","51.0439992,3.7154259"
44505,"Creactief: weekends en vakanties","51.1658262,4.4678468"
44518,"Oud Schoolgebouw Sincfala","51.3376467,3.2455964"
44580,"Fietsen InterBikes","50.8054126,4.9424738"
44593,"Ecohuis Antwerpen","51.2150386,4.4343589"
44656,"Refill Station","50.9435225,5.3555542"
44821,"Astroshop Urania","51.1448357,4.4654302"
44828,"WALPURGIS Muziektheater","51.1750669,4.4445294"
45407,"COLOMAplus - schoonheidssalon","51.0054313,4.4865151"
45412,"Train World","50.877485,4.3790025"
45454,"Gemeenschapscentrum De oude pastorie","50.9789908,4.3504414"
45525,"Fort Napoleon","51.2378977,2.9318097"
45585,"CC Muze","51.0262464,5.3240828"
45643,"Bibliotheek Geraardsbergen","50.7688335,3.8756192"
45667,"PC-Deals","50.9236251,5.7224907"
45832,"Fietsen Saman","51.3870788,4.5880293"
46004,"i-fitness","51.1983047,4.4171997"
46027,"Stadsbrouwerij De Koninck","51.1992882,4.415151"
46072,"Copyright Bookshop","51.0523121,3.7200821"
46149,"Vakantieverblijf Stayokay","52.3689859,4.8974802"
46155,"Gallo-Romeins Museum","50.7813575,5.4662087"
45330,"Vlaamse Jeugdherbergen","51.1941457,3.2337184"
45330,"Vlaamse Jeugdherbergen","50.8427501,4.3515499"
45330,"Vlaamse Jeugdherbergen","51.0678307,3.7290914"
45330,"Vlaamse Jeugdherbergen","50.9299427,5.326629"
45330,"Vlaamse Jeugdherbergen","50.8824347,4.7171883"
45330,"Vlaamse Jeugdherbergen","51.2336973,2.9186856"
45330,"Vlaamse Jeugdherbergen","51.1315753,2.6833958"
45330,"Vlaamse Jeugdherbergen","51.0234323,4.4874489"
45330,"Vlaamse Jeugdherbergen","50.95091,5.41"
45330,"Vlaamse Jeugdherbergen","51.209082,3.4486611"
45330,"Vlaamse Jeugdherbergen","50.2824593,6.1226507"
45330,"Vlaamse Jeugdherbergen","50.7495487,5.812935"
45330,"Vlaamse Jeugdherbergen","51.0914932,4.9068953"
45330,"Vlaamse Jeugdherbergen","51.2679739,4.6763364"
45330,"Vlaamse Jeugdherbergen","51.2194496,4.4024615"
45330,"Vlaamse Jeugdherbergen","50.8264298,3.2797436"
45283,"Wandelen door Heusden-Zolder","51.0386613,5.3295368"
45283,"Wandelen door Heusden-Zolder","50.9879608,5.2763788"
45283,"Wandelen door Heusden-Zolder","51.0239825,5.3136125"
44641,"De Slegte","51.0522049,3.723445"
44641,"De Slegte","51.0249411,4.4763737"
44641,"De Slegte","51.2179695,4.4088394"
44641,"De Slegte","50.8798995,4.7065001"
43057,"EF Education First: Teacher on the road","51.2123236,4.4099481"
43057,"EF Education First: Teacher on the road","50.8237871,4.3668995"
44941,"De Banier creatief","51.202002,3.2268277"
44941,"De Banier creatief","50.8457414,4.3479882"
44941,"De Banier creatief","51.0567314,3.72311"
44941,"De Banier creatief","50.9352548,5.3387734"
44941,"De Banier creatief","50.881715,4.7077999"
44941,"De Banier creatief","51.0242445,4.4777594"
44941,"De Banier creatief","50.9459335,3.1281289"
44941,"De Banier creatief","51.3236211,4.944232"
44941,"De Banier creatief","51.1679267,4.1421145"
44941,"De Banier creatief","50.9395982,4.0428149"
44941,"De Banier creatief","51.2209388,4.407452"
43263,"Mijnsite Blegny","50.6864988,5.7225759"
43255,"Rondrit met het toeristentreintje","50.6864988,5.7225759"
43243,"De terril van Blegny","50.6864988,5.7225759"
46322,"Blue-bike","50.9426272,4.0390501"
46322,"Blue-bike","50.9847169,4.8242503"
46322,"Blue-bike","51.2001783,4.4327702"
46322,"Blue-bike","51.2037695,4.4112637"
46322,"Blue-bike","50.906594,4.2080783"
46322,"Blue-bike","51.1281242,3.3292576"
46322,"Blue-bike","50.431656,3.9834141"
46322,"Blue-bike","51.1976659,3.2178509"
46322,"Blue-bike","50.8605262,4.3617873"
46322,"Blue-bike","50.8371533,4.3357801"
46322,"Blue-bike","50.8454658,4.3571135"
46322,"Blue-bike","50.837951,4.3735317"
46322,"Blue-bike","50.9784836,3.5348838"
46322,"Blue-bike","50.9875642,3.5235857"
46322,"Blue-bike","51.0232072,4.1013756"
46322,"Blue-bike","50.9930246,5.0511326"
46322,"Blue-bike","51.1807807,3.5750407"
46322,"Blue-bike","51.1688398,4.9891324"
46322,"Blue-bike","50.966651,5.4962488"
46322,"Blue-bike","51.0562574,3.7401455"
46322,"Blue-bike","51.0361237,3.7109366"
46322,"Blue-bike","50.7333893,4.2399433"
46322,"Blue-bike","50.9308893,5.3278361"
46322,"Blue-bike","51.1810322,4.8288561"
46322,"Blue-bike","50.8245423,3.2643962"
